Time [s],0.5mV,1mV,1.5mV,2mV,2.5mV,3mV,3.5mV,4mV,4.5mV,5mV
1.014,1.642054039,1.784123078,1.926192117,2.068261155,2.210330194,2.352399233,2.494468272,2.636537311,2.778606349,2.920675388
1.0141,1.620073483,1.740161967,1.86025045,1.980338933,2.100427417,2.2205159,2.340604383,2.460692867,2.58078135,2.700869833
1.0142,1.597618994,1.695252987,1.79288698,1.890520974,1.988154967,2.085788961,2.183422954,2.281056947,2.378690941,2.476324934
1.0143,1.574779187,1.649573374,1.72436756,1.799161747,1.873955934,1.948750121,2.023544307,2.098338494,2.173132681,2.247926868
1.0144,1.551644202,1.603303403,1.654962605,1.706621807,1.758281008,1.80994021,1.861599411,1.913258613,1.964917815,2.016577016
1.0145,1.528305341,1.556625683,1.584946024,1.613266365,1.641586706,1.669907047,1.698227388,1.72654773,1.754868071,1.783188412
1.0146,1.504854713,1.509724427,1.51459414,1.519463853,1.524333567,1.52920328,1.534072993,1.538942707,1.54381242,1.548682133
1.0147,1.481384867,1.462784734,1.444184601,1.425584468,1.406984335,1.388384202,1.369784069,1.351183936,1.332583803,1.313983669
1.0148,1.457988427,1.415991854,1.37399528,1.331998707,1.290002134,1.248005561,1.206008987,1.164012414,1.122015841,1.080019268
1.0149,1.434757728,1.369530456,1.304303184,1.239075912,1.17384864,1.108621367,1.043394095,0.978166823,0.912939551,0.847712279
1.015,1.411784451,1.323583903,1.235383354,1.147182805,1.058982256,0.970781708,0.882581159,0.79438061,0.706180061,0.617979513
1.0151,1.389159262,1.278333524,1.167507786,1.056682048,0.94585631,0.835030571,0.724204833,0.613379095,0.502553357,0.391727619
1.0152,1.366971451,1.233957902,1.100944353,0.967930804,0.834917256,0.701903707,0.568890158,0.435876609,0.30286306,0.169849511
1.0153,1.345308584,1.190632168,1.035955752,0.881279336,0.72660292,0.571926504,0.417250088,0.262573672,0.107897256,-0.04677916
1.0154,1.324256154,1.148527308,0.972798462,0.797069616,0.62134077,0.445611924,0.269883078,0.094154232,-0.081574614,-0.25730346
1.0155,1.303897246,1.107809491,0.911721737,0.715633982,0.519546228,0.323458473,0.127370719,-0.068717035,-0.26480479,-0.460892544
1.0156,1.284312206,1.068639412,0.852966618,0.637293824,0.421621029,0.205948235,-0.009724559,-0.225397353,-0.441070147,-0.656742941
1.0157,1.265578328,1.031171656,0.796764985,0.562358313,0.327951641,0.093544969,-0.140861703,-0.375268375,-0.609675047,-0.844081718
1.0158,1.247769547,0.995554093,0.74333864,0.491123186,0.238907733,-0.013307721,-0.265523174,-0.517738628,-0.769954082,-1.022169535
1.0159,1.230956144,0.961927288,0.692898432,0.423869576,0.15484072,-0.114188136,-0.383216992,-0.652245848,-0.921274704,-1.19030356
1.016,1.215204476,0.930423951,0.645643427,0.360862902,0.076082378,-0.208698147,-0.493478672,-0.778259196,-1.063039721,-1.347820245
1.0161,1.200576706,0.901168411,0.601760117,0.302351823,0.002943528,-0.296464766,-0.595873061,-0.895281355,-1.19468965,-1.494097944
1.0162,1.187130564,0.874276127,0.561421691,0.248567254,-0.064287183,-0.377141619,-0.689996056,-1.002850492,-1.315704929,-1.628559365
1.0163,1.174919115,0.84985323,0.524787345,0.19972146,-0.125344426,-0.450410311,-0.775476196,-1.100542081,-1.425607966,-1.750673851
1.0164,1.163990553,0.827996106,0.492001659,0.156007211,-0.179987236,-0.515981683,-0.85197613,-1.187970577,-1.523965025,-1.859959472
1.0165,1.154388007,0.808791015,0.463194022,0.117597029,-0.227999963,-0.573596956,-0.919193949,-1.264790941,-1.610387934,-1.955984927
1.0166,1.146149375,0.792313751,0.438478126,0.084642501,-0.269193123,-0.623028748,-0.976864373,-1.330699998,-1.684535622,-2.038371247
1.0167,1.139307171,0.778629342,0.417951513,0.057273683,-0.303404146,-0.664081975,-1.024759804,-1.385437633,-1.746115463,-2.106793292
1.0168,1.133888397,0.767791794,0.401695191,0.035598588,-0.330498015,-0.696594618,-1.062691221,-1.428787824,-1.794884427,-2.16098103
1.0169,1.129914439,0.759843878,0.389773318,0.019702757,-0.350367804,-0.720438365,-1.090508926,-1.460579487,-1.830650048,-2.200720609
1.017,1.127400981,0.754816962,0.382232942,0.009648923,-0.362935096,-0.735519115,-1.108103135,-1.480687154,-1.853271173,-2.225855192
1.0171,1.126357941,0.752730883,0.379103824,0.005476765,-0.368150294,-0.741777352,-1.115404411,-1.48903147,-1.862658529,-2.236285587
1.0172,1.126789437,0.753593874,0.380398311,0.007202748,-0.365992814,-0.739188377,-1.11238394,-1.485579503,-1.858775066,-2.231970629
1.0173,1.128693765,0.757402531,0.386111296,0.014820061,-0.356471173,-0.727762408,-1.099053643,-1.470344878,-1.841636112,-2.212927347
1.0174,1.132063411,0.764141821,0.396220231,0.028298642,-0.339622948,-0.707544538,-1.075466127,-1.443387717,-1.811309306,-2.179230896
1.0175,1.136885074,0.773785148,0.410685222,0.047585296,-0.31551463,-0.678614556,-1.041714483,-1.404814409,-1.767914335,-2.131014261
1.0176,1.143139727,0.786294454,0.429449181,0.072603908,-0.284241365,-0.641086638,-0.997931911,-1.354777184,-1.711622457,-2.06846773
1.0177,1.150802685,0.801620371,0.452438056,0.103255741,-0.245926574,-0.595108888,-0.944291203,-1.293473518,-1.642655833,-1.991838147
1.0178,1.159843707,0.819702413,0.47956112,0.139419827,-0.200721467,-0.54086276,-0.881004053,-1.221145347,-1.56128664,-1.901427934
1.0179,1.17022711,0.840469221,0.510711331,0.180953441,-0.148804448,-0.478562338,-0.808320228,-1.138078118,-1.467836007,-1.797593897
1.018,1.181911918,0.863838836,0.545765753,0.227692671,-0.090380411,-0.408453494,-0.726526576,-1.044599658,-1.362672741,-1.680745823
1.0181,1.194852014,0.889719029,0.584586043,0.279453057,-0.025679929,-0.330812914,-0.6359459,-0.941078886,-1.246211872,-1.551344857
1.0182,1.208996331,0.918007663,0.627018994,0.336030325,0.045041657,-0.245947012,-0.536935681,-0.82792435,-1.118913018,-1.409901687
1.0183,1.224289048,0.948593095,0.672897143,0.397201191,0.121505238,-0.154190714,-0.429886666,-0.705582619,-0.981278571,-1.256974523
1.0184,1.24066981,0.98135462,0.72203943,0.46272424,0.20340905,-0.05590614,-0.31522133,-0.57453652,-0.83385171,-1.0931669
1.0185,1.258073971,1.016162942,0.774251913,0.532340884,0.290429855,0.048518826,-0.193392203,-0.435303232,-0.677214261,-0.919125291
1.0186,1.276432844,1.052880688,0.829328533,0.605776377,0.382224221,0.158672065,-0.064880091,-0.288432246,-0.511984402,-0.735536558
1.0187,1.295673976,1.091362951,0.887051927,0.682740903,0.478429878,0.274118854,0.06980783,-0.134503195,-0.338814219,-0.543125243
1.0188,1.31572143,1.131457859,0.947194288,0.762930718,0.578667147,0.394403576,0.210140006,0.025876435,-0.158387135,-0.342650706
